State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Madhya Pradesh,Madhya Pradesh_District_4,2015,Kharif,Turmeric,3673.37,18866.83
Rajasthan,Rajasthan_District_3,2021,Kharif,Bajra,3025.52,3050.13
Karnataka,Karnataka_District_5,2012,Rabi,Wheat,4695.84,
Odisha,Odisha_District_1,2010,Rabi,Mustard,281.0,400.26
West Bengal,West Bengal_District_3,2020,Kharif,Sunflower,2982.45,2566.56
Madhya Pradesh,Madhya Pradesh_District_2,2014,Whole Year,Sugarcane,4051.57,265165.49
Haryana,Haryana_District_2,2015,Whole Year,Sugarcane,3432.15,265561.92
Andhra Pradesh,Andhra Pradesh_District_4,2008,Rabi,Wheat,3789.04,11448.0
Karnataka,Karnataka_District_2,2018,Whole Year,Sugarcane,3886.91,297086.96
Madhya Pradesh,Madhya Pradesh_District_4,2008,Rabi,Jowar,4230.44,3834.59
West Bengal,West Bengal_District_5,2013,Kharif,Bajra,747.57,799.86
Andhra Pradesh,Andhra Pradesh_District_3,2010,Kharif,Cotton,1824.41,985.35
Madhya Pradesh,Madhya Pradesh_District_1,2012,Kharif,Bajra,1687.95,1565.72
Chhattisgarh,Chhattisgarh_District_4,2003,Kharif,Bajra,2387.46,2055.79
Uttar Pradesh,Uttar Pradesh_District_3,2005,Kharif,Rice,2828.32,6274.49
West Bengal,West Bengal_District_2,2013,Rabi,Potato,1048.51,26672.14
Andhra Pradesh,Andhra Pradesh_District_4,2004,Kharif,Turmeric,4542.45,23595.56
Gujarat,Gujarat_District_5,2019,Kharif,Soyabean,848.05,684.6
Telangana,Telangana_District_1,2006,Kharif,Cotton,2309.85,986.11
Punjab,Punjab_District_4,2001,Kharif,Jowar,1397.05,915.65
Odisha,Odisha_District_4,2009,Kharif,Turmeric,1558.67,9277.04
Andhra Pradesh,Andhra Pradesh_District_3,2012,Rabi,Potato,1258.42,20445.01
Maharashtra,Maharashtra_District_1,2017,Whole Year,Sugarcane,371.22,23807.56
Chhattisgarh,Chhattisgarh_District_1,2017,Kharif,Cotton,4988.82,2132.67
Bihar,Bihar_District_2,2005,Rabi,Sunflower,1758.1,1654.11
Punjab,Punjab_District_4,2011,Kharif,Soyabean,1879.79,2304.8
Karnataka,Karnataka_District_5,2002,Whole Year,Sugarcane,3185.97,185678.05
Tamil Nadu,Tamil Nadu_District_3,2003,Rabi,Groundnut,2974.92,3678.4
Chhattisgarh,Chhattisgarh_District_2,2019,Kharif,Maize,1775.9,4157.56
Rajasthan,Rajasthan_District_4,2018,Kharif,Jowar,4627.23,2653.82
Chhattisgarh,Chhattisgarh_District_4,2016,Rabi,Potato,2798.24,44517.06
Tamil Nadu,Tamil Nadu_District_5,2009,Kharif,Cotton,1430.41,695.58
Chhattisgarh,Chhattisgarh_District_4,2001,Kharif,Bajra,3228.06,
Uttar Pradesh,Uttar Pradesh_District_1,2018,Kharif,Maize,846.0,2041.71
Karnataka,Karnataka_District_3,2009,Kharif,Turmeric,920.83,5264.02
Maharashtra,Maharashtra_District_3,2001,Kharif,Rice,2735.57,5659.0
Karnataka,Karnataka_District_5,2008,Rabi,Maize,3174.14,6582.84
Andhra Pradesh,Andhra Pradesh_District_5,2016,Kharif,Sunflower,1439.82,1409.1
Andhra Pradesh,Andhra Pradesh_District_1,2014,Rabi,Sunflower,4578.58,3579.79
Chhattisgarh,Chhattisgarh_District_4,2020,Kharif,Rice,1507.52,4132.53
Madhya Pradesh,Madhya Pradesh_District_1,2018,Rabi,Maize,2806.17,6265.62
Maharashtra,Maharashtra_District_2,2002,Rabi,Lentil,1308.11,1189.11
Punjab,Punjab_District_1,2001,Kharif,Bajra,726.28,692.84
Punjab,Punjab_District_3,2013,Rabi,Wheat,453.89,
Gujarat,Gujarat_District_5,2001,Whole Year,Sugarcane,401.16,23965.13
West Bengal,West Bengal_District_4,2002,Rabi,Wheat,2220.45,6336.52
Chhattisgarh,Chhattisgarh_District_1,2017,Rabi,Potato,234.87,4559.37
Andhra Pradesh,Andhra Pradesh_District_5,2012,Rabi,Sunflower,3133.31,2882.47
Telangana,Telangana_District_4,2015,Rabi,Chickpea,3512.59,3321.45
Punjab,Punjab_District_2,2021,Kharif,Cotton,450.32,202.05
Tamil Nadu,Tamil Nadu_District_5,2001,Kharif,Rice,2239.64,4678.07
Telangana,Telangana_District_5,2016,Kharif,Rice,2607.65,5938.24
Haryana,Haryana_District_5,2003,Kharif,Soyabean,1276.27,1557.52
Uttar Pradesh,Uttar Pradesh_District_4,2015,Kharif,Cotton,251.61,106.3
Gujarat,Gujarat_District_5,2016,Rabi,Sunflower,4044.22,2986.34
Punjab,Punjab_District_2,2004,Kharif,Groundnut,274.25,214.19
Punjab,Punjab_District_3,2001,Rabi,Potato,2719.92,58839.72
Bihar,Bihar_District_1,2020,Rabi,Sunflower,2898.6,2929.59
Tamil Nadu,Tamil Nadu_District_1,2019,Kharif,Rice,4112.17,11805.17
Rajasthan,Rajasthan_District_4,2013,Kharif,Turmeric,1112.22,6637.62
Telangana,Telangana_District_3,2003,Rabi,Wheat,1715.94,4146.58
Uttar Pradesh,Uttar Pradesh_District_2,2007,Kharif,Maize,634.92,1600.45
Telangana,Telangana_District_3,2004,Kharif,Turmeric,2118.83,11874.08
Maharashtra,Maharashtra_District_3,2003,Kharif,Rice,2092.46,5109.91
Madhya Pradesh,Madhya Pradesh_District_5,2013,Kharif,Sunflower,3712.55,2686.96
Gujarat,Gujarat_District_1,2019,Kharif,Groundnut,1976.55,2022.5
Odisha,Odisha_District_3,2007,Kharif,Sunflower,4786.16,3674.76
Haryana,Haryana_District_5,2020,Rabi,Maize,3378.97,9322.88
Madhya Pradesh,Madhya Pradesh_District_1,2013,Kharif,Soyabean,4658.1,6482.96
Odisha,Odisha_District_2,2012,Rabi,Potato,4341.0,94459.61
Uttar Pradesh,Uttar Pradesh_District_5,2010,Kharif,Bajra,2013.43,1406.48
Telangana,Telangana_District_1,2017,Rabi,Groundnut,4738.88,6201.12
Gujarat,Gujarat_District_4,2019,Rabi,Groundnut,3896.88,3445.75
Madhya Pradesh,Madhya Pradesh_District_3,2013,Kharif,Turmeric,2055.75,14304.27
Gujarat,Gujarat_District_4,2009,Kharif,Bajra,3733.85,2832.75
Tamil Nadu,Tamil Nadu_District_1,2001,Rabi,Jowar,1156.8,1105.18
Tamil Nadu,Tamil Nadu_District_5,2015,Kharif,Turmeric,4461.16,27150.62
Chhattisgarh,Chhattisgarh_District_3,2018,Whole Year,Sugarcane,872.77,62563.05
West Bengal,West Bengal_District_1,2003,Kharif,Cotton,4510.73,2901.84
Tamil Nadu,Tamil Nadu_District_4,2008,Rabi,Potato,1799.09,31281.91
Tamil Nadu,Tamil Nadu_District_5,2017,Rabi,Jowar,1434.83,1649.33
Telangana,Telangana_District_3,2006,Kharif,Turmeric,4751.51,21755.19
West Bengal,West Bengal_District_1,2010,Rabi,Wheat,4667.01,13945.09
West Bengal,West Bengal_District_1,2021,Rabi,Mustard,3760.41,4516.8
Rajasthan,Rajasthan_District_3,2013,Kharif,Rice,364.38,874.16
Chhattisgarh,Chhattisgarh_District_5,2005,Kharif,Soyabean,3644.3,5026.85
Chhattisgarh,Chhattisgarh_District_1,2014,Kharif,Cotton,1064.97,445.75
Andhra Pradesh,Andhra Pradesh_District_1,2002,Kharif,Bajra,1822.91,1388.69
Punjab,Punjab_District_2,2003,Rabi,Wheat,2624.81,7467.77
Uttar Pradesh,Uttar Pradesh_District_3,2016,Kharif,Jowar,2426.23,2569.63
Haryana,Haryana_District_5,2002,Rabi,Chickpea,4034.97,3717.65
Bihar,Bihar_District_2,2015,Rabi,Wheat,2215.5,7293.23
Gujarat,Gujarat_District_1,2015,Kharif,Groundnut,2012.89,2947.39
Gujarat,Gujarat_District_2,2017,Kharif,Bajra,2485.98,2509.48
Maharashtra,Maharashtra_District_5,2006,Rabi,Wheat,2488.46,8191.11
Chhattisgarh,Chhattisgarh_District_1,2016,Kharif,Soyabean,801.92,666.96
Maharashtra,Maharashtra_District_4,2004,Kharif,Bajra,1761.05,1608.25
Bihar,Bihar_District_5,2019,Rabi,Potato,252.3,5974.2
Tamil Nadu,Tamil Nadu_District_2,2021,Kharif,Turmeric,2766.14,12705.65
Andhra Pradesh,Andhra Pradesh_District_2,2009,Kharif,Turmeric,506.84,3073.85
Karnataka,Karnataka_District_3,2016,Rabi,Lentil,352.34,357.94
Telangana,Telangana_District_4,2015,Rabi,Lentil,1883.84,1568.83
Punjab,Punjab_District_4,2014,Kharif,Soyabean,2339.55,2812.78
Uttar Pradesh,Uttar Pradesh_District_3,2013,Rabi,Lentil,4342.71,3378.38
Chhattisgarh,Chhattisgarh_District_1,2005,Kharif,Soyabean,952.31,1189.84
Uttar Pradesh,Uttar Pradesh_District_4,2013,Kharif,Jowar,2988.28,2765.74
Chhattisgarh,Chhattisgarh_District_1,2018,Kharif,Turmeric,480.26,3707.11
Andhra Pradesh,Andhra Pradesh_District_4,2009,Rabi,Maize,1720.36,4093.02
Bihar,Bihar_District_3,2013,Kharif,Bajra,1685.22,1459.75
Uttar Pradesh,Uttar Pradesh_District_3,2009,Rabi,Chickpea,447.16,337.64
Maharashtra,Maharashtra_District_5,2006,Whole Year,Sugarcane,2019.39,126569.17
Chhattisgarh,Chhattisgarh_District_1,2015,Rabi,Wheat,2698.43,8919.2
Telangana,Telangana_District_4,2006,Kharif,Cotton,4841.57,1875.24
